schema,ticker,rebalance_date,end_date,error
OHLCV-1d,SNA,2023-02-21,2023-03-28,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x12742cce0>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
definition,TPR,2023-02-21,2023-02-21,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1273d6600>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
OHLCV-1d,TPR,2023-02-21,2023-03-28,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1273d65a0>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
definition,WYNN,2023-02-21,2023-02-21,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x127196780>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
OHLCV-1d,WYNN,2023-02-21,2023-03-28,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x127196000>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
definition,BLK,2023-03-20,2023-03-20,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x127345040>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
OHLCV-1d,BLK,2023-03-20,2023-04-24,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x127346e10>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
definition,CHRW,2023-03-20,2023-03-20,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x127346210>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
OHLCV-1d,CHRW,2023-03-20,2023-04-24,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x105639130>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
definition,CLX,2023-03-20,2023-03-20,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x127347e90>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
OHLCV-1d,CLX,2023-03-20,2023-04-24,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x117854f50>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
definition,CPB,2023-03-20,2023-03-20,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x127345340>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
OHLCV-1d,CPB,2023-03-20,2023-04-24,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x117855c40>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
definition,ED,2023-03-20,2023-03-20,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x117857620>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
OHLCV-1d,ED,2023-03-20,2023-04-24,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x127105640>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
definition,EXPD,2023-03-20,2023-03-20,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1178573b0>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
OHLCV-1d,EXPD,2023-03-20,2023-04-24,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1273c2b10>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
definition,FAST,2023-03-20,2023-03-20,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1273c1970>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
OHLCV-1d,FAST,2023-03-20,2023-04-24,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1274ef6e0>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
