rebalance_date,ticker,rank,selected_flag
2014-08-18,CL,12.0,1
2014-08-18,PETM,13.0,1
2014-08-18,LUV,14.0,1
2014-08-18,EW,15.0,1
2014-08-18,KMB,16.0,1
2014-08-18,DNB,17.0,1
2014-08-18,SWY,18.0,1
2014-08-18,SYY,19.0,1
2014-08-18,DE,20.0,1
2014-09-15,CLX,1.0,1
2014-09-15,MJN,2.0,1
2014-09-15,MO,3.0,1
2014-09-15,FDO,4.0,1
2014-09-15,CHRW,5.0,1
2014-09-15,INTC,6.0,1
2014-09-15,DGX,7.0,1
2014-09-15,CPB,8.0,1
2014-09-15,K,9.0,1
2014-09-15,IBM,10.0,1
2014-09-15,BLK,11.0,1
2014-09-15,PETM,12.0,1
2014-09-15,CL,13.0,1
2014-09-15,SYY,14.0,1
2014-09-15,LUV,15.0,1
2014-09-15,EW,16.0,1
2014-09-15,COV,17.0,1
2014-09-15,PAYX,18.0,1
2014-09-15,MSFT,19.0,1
2014-09-15,NTRS,20.0,1
2014-10-13,CLX,1.0,1
2014-10-13,MJN,2.0,1
2014-10-13,SIAL,3.0,1
2014-10-13,FDO,4.0,1
2014-10-13,MO,5.0,1
2014-10-13,PAYX,6.0,1
2014-10-13,CHRW,7.0,1
2014-10-13,CPB,8.0,1
2014-10-13,NFLX,9.0,1
2014-10-13,COV,10.0,1
2014-10-13,KMB,11.0,1
2014-10-13,BBBY,12.0,1
2014-10-13,BCR,13.0,1
2014-10-13,CL,14.0,1
2014-10-13,BLK,15.0,1
2014-10-13,SYY,16.0,1
2014-10-13,ED,17.0,1
2014-10-13,K,18.0,1
2014-10-13,AIV,19.0,1
2014-10-13,CTAS,20.0,1
2014-11-10,CLX,1.0,1
2014-11-10,MJN,2.0,1
2014-11-10,FDO,3.0,1
2014-11-10,SIAL,4.0,1
2014-11-10,MO,5.0,1
2014-11-10,BBBY,6.0,1
2014-11-10,PAYX,7.0,1
2014-11-10,AMGN,8.0,1
2014-11-10,BLK,9.0,1
2014-11-10,PETM,10.0,1
2014-11-10,CHRW,11.0,1
2014-11-10,LUV,12.0,1
2014-11-10,KMB,13.0,1
2014-11-10,CPB,14.0,1
2014-11-10,CL,15.0,1
2014-11-10,SWY,16.0,1
2014-11-10,ED,17.0,1
2014-11-10,BCR,18.0,1
2014-11-10,COV,19.0,1
2014-11-10,NTAP,20.0,1
2014-12-08,CLX,1.0,1
2014-12-08,MJN,2.0,1
2014-12-08,PETM,3.0,1
2014-12-08,BBBY,4.0,1
2014-12-08,MO,5.0,1
2014-12-08,SIAL,6.0,1
2014-12-08,PAYX,7.0,1
2014-12-08,EW,8.0,1
2014-12-08,BCR,9.0,1
2014-12-08,CHRW,10.0,1
2014-12-08,BLK,11.0,1
2014-12-08,COV,12.0,1
2014-12-08,ED,13.0,1
2014-12-08,CPB,14.0,1
2014-12-08,CL,15.0,1
2014-12-08,SO,16.0,1
2014-12-08,SWY,17.0,1
2014-12-08,K,18.0,1
2014-12-08,INTC,19.0,1
2014-12-08,FDO,20.0,1
2015-01-05,CLX,1.0,1
2015-01-05,ED,2.0,1
2015-01-05,SIAL,3.0,1
2015-01-05,KMB,4.0,1
2015-01-05,SO,5.0,1
2015-01-05,BBBY,6.0,1
2015-01-05,PAYX,7.0,1
2015-01-05,SYY,8.0,1
2015-01-05,PETM,9.0,1
2015-01-05,BLK,10.0,1
2015-01-05,FDO,11.0,1
2015-01-05,PDCO,12.0,1
2015-01-05,ROST,13.0,1
2015-01-05,SCG,14.0,1
2015-01-05,DGX,15.0,1
2015-01-05,PBCT,16.0,1
2015-01-05,SHW,17.0,1
2015-01-05,GPC,18.0,1
2015-01-05,CB,19.0,1
2015-01-05,BCR,20.0,1
2015-02-02,CLX,1.0,1
2015-02-02,ED,2.0,1
2015-02-02,CPB,3.0,1
2015-02-02,SO,4.0,1
2015-02-02,SIAL,5.0,1
2015-02-02,PETM,6.0,1
2015-02-02,SCG,7.0,1
2015-02-02,PAYX,8.0,1
2015-02-02,BLK,9.0,1
2015-02-02,KMB,10.0,1
2015-02-02,SYY,11.0,1
2015-02-02,K,12.0,1
2015-02-02,MO,13.0,1
2015-02-02,PDCO,14.0,1
2015-02-02,SHW,15.0,1
2015-02-02,LEG,16.0,1
2015-02-02,CAG,17.0,1
2015-02-02,ROST,18.0,1
2015-02-02,BBBY,19.0,1
2015-02-02,DGX,20.0,1
2015-03-02,CLX,1.0,1
2015-03-02,PAYX,2.0,1
2015-03-02,LEG,3.0,1
2015-03-02,SIAL,4.0,1
2015-03-02,CPB,5.0,1
2015-03-02,AGN,6.0,1
2015-03-02,CL,7.0,1
2015-03-02,ED,8.0,1
2015-03-02,SHW,9.0,1
2015-03-02,BLK,10.0,1
2015-03-02,DLTR,11.0,1
2015-03-02,KMB,12.0,1
2015-03-02,PETM,13.0,1
2015-03-02,DGX,14.0,1
2015-03-02,ROST,15.0,1
2015-03-02,WHR,16.0,1
2015-03-02,PDCO,17.0,1
2015-03-02,SO,18.0,1
2015-03-02,DRI,19.0,1
2015-03-02,VRSN,20.0,1
2015-03-30,CLX,1.0,1
