strategy_id,date,ticker,event,detail,cash_change,shares_change
D20,2019-04-26,DIS,SELL_CALL,exp=2019-05-17 K=150.00 prem=0.91 x50,4550.0,0
D20,2019-04-26,WMT,SELL_PUT,exp=2019-05-17 K=99.00 prem=1.70 x34,5780.0,0
D20,2019-04-26,INTC,SELL_PUT,exp=2019-05-17 K=49.00 prem=0.40 x70,2800.0,0
D20,2019-04-26,MRK,SELL_PUT,exp=2019-05-17 K=74.00 prem=0.89 x46,4094.0,0
D20,2019-04-26,KO,SELL_PUT,exp=2019-05-17 K=47.00 prem=0.16 x73,1168.0,0
D20,2019-04-26,PEP,SELL_PUT,exp=2019-05-17 K=123.00 prem=0.53 x27,1431.0,0
D20,2019-04-26,ORCL,SELL_PUT,exp=2019-05-17 K=54.00 prem=0.44 x63,2772.0,0
D20,2019-04-26,HD,SELL_PUT,exp=2019-05-17 K=197.50 prem=0.99 x17,1683.0,0
D20,2019-04-26,ABT,SELL_PUT,exp=2019-05-17 K=75.50 prem=0.54 x45,2430.0,0
D20,2019-04-26,TMO,SELL_PUT,exp=2019-05-17 K=260.00 prem=1.83 x13,2379.0,0
D20,2019-04-26,NEE,SELL_PUT,exp=2019-05-17 K=185.00 prem=0.66 x18,1188.0,0
D20,2019-04-26,NFLX,SELL_PUT,exp=2019-05-17 K=350.00 prem=3.05 x9,2745.0,0
D20,2019-04-26,UNP,SELL_PUT,exp=2019-05-17 K=155.00 prem=0.10 x22,220.0,0
D10,2019-05-17,MSFT,PUT_EXPIRE,OTM K=124.00 S_close=128.07,0.0,0
D10,2019-05-17,AAPL,CALL_EXPIRE,OTM K=217.50 S_close=189.00,0.0,0
D10,2019-05-17,BA,PUT_ASSIGN,buy 1000 @357.50 S_close=355.02,-357500.0,1000
D10,2019-05-17,BAC,PUT_EXPIRE,OTM K=28.00 S_close=28.40,0.0,0
D10,2019-05-17,JNJ,PUT_EXPIRE,OTM K=136.00 S_close=138.61,0.0,0
D10,2019-05-17,PG,CALL_EXPIRE,OTM K=110.00 S_close=107.45,0.0,0
D10,2019-05-17,CSCO,PUT_EXPIRE,OTM K=53.50 S_close=56.35,0.0,0
D10,2019-05-17,DIS,PUT_EXPIRE,OTM K=130.00 S_close=135.04,0.0,0
D10,2019-05-17,WMT,PUT_EXPIRE,OTM K=98.00 S_close=100.86,0.0,0
D10,2019-05-17,INTC,PUT_ASSIGN,buy 8700 @45.00 S_close=44.89,-391500.0,8700
D10,2019-05-17,MRK,PUT_EXPIRE,OTM K=72.50 S_close=78.72,0.0,0
D10,2019-05-17,KO,PUT_EXPIRE,OTM K=47.00 S_close=49.20,0.0,0
D10,2019-05-17,PEP,CALL_EXPIRE,OTM K=132.00 S_close=130.51,0.0,0
D10,2019-05-17,ORCL,PUT_EXPIRE,OTM K=53.00 S_close=54.50,0.0,0
D10,2019-05-17,HD,PUT_ASSIGN,buy 2000 @195.00 S_close=192.58,-390000.0,2000
D10,2019-05-17,ABT,PUT_EXPIRE,OTM K=74.00 S_close=75.97,0.0,0
D10,2019-05-17,TMO,PUT_EXPIRE,OTM K=260.00 S_close=261.73,0.0,0
D10,2019-05-17,NEE,PUT_EXPIRE,OTM K=180.00 S_close=198.98,0.0,0
D10,2019-05-17,NFLX,PUT_EXPIRE,OTM K=350.00 S_close=354.45,0.0,0
D10,2019-05-17,UNP,PUT_EXPIRE,OTM K=155.00 S_close=174.62,0.0,0
D20,2019-05-17,MSFT,PUT_EXPIRE,OTM K=126.00 S_close=128.07,0.0,0
D20,2019-05-17,AAPL,CALL_EXPIRE,OTM K=212.50 S_close=189.00,0.0,0
D20,2019-05-17,BA,CALL_EXPIRE,OTM K=405.00 S_close=355.02,0.0,0
D20,2019-05-17,BAC,CALL_EXPIRE,OTM K=32.00 S_close=28.40,0.0,0
D20,2019-05-17,JNJ,PUT_EXPIRE,OTM K=138.00 S_close=138.61,0.0,0
D20,2019-05-17,PG,CALL_EXPIRE,OTM K=109.00 S_close=107.45,0.0,0
D20,2019-05-17,CSCO,PUT_EXPIRE,OTM K=54.50 S_close=56.35,0.0,0
D20,2019-05-17,DIS,CALL_EXPIRE,OTM K=150.00 S_close=135.04,0.0,0
D20,2019-05-17,WMT,PUT_EXPIRE,OTM K=99.00 S_close=100.86,0.0,0
D20,2019-05-17,INTC,PUT_ASSIGN,buy 7000 @49.00 S_close=44.89,-343000.0,7000
D20,2019-05-17,MRK,PUT_EXPIRE,OTM K=74.00 S_close=78.72,0.0,0
D20,2019-05-17,KO,PUT_EXPIRE,OTM K=47.00 S_close=49.20,0.0,0
D20,2019-05-17,PEP,PUT_EXPIRE,OTM K=123.00 S_close=130.51,0.0,0
D20,2019-05-17,ORCL,PUT_EXPIRE,OTM K=54.00 S_close=54.50,0.0,0
D20,2019-05-17,HD,PUT_ASSIGN,buy 1700 @197.50 S_close=192.58,-335750.0,1700
D20,2019-05-17,ABT,PUT_EXPIRE,OTM K=75.50 S_close=75.97,0.0,0
D20,2019-05-17,TMO,PUT_EXPIRE,OTM K=260.00 S_close=261.73,0.0,0
