strategy_id,date,cash,equity,daily_pnl
D20,2019-01-31,6807931.22,11127430.22,84692.51
D10,2019-02-01,7812453.21,11262024.21,16552.47
D20,2019-02-01,6808566.09,11138572.08,11141.86
D10,2019-02-04,7813187.96,11261603.96,-420.26
D20,2019-02-04,6809206.42,11157045.42,18473.34
D10,2019-02-05,7813922.77,11234818.75,-26785.21
D20,2019-02-05,6809846.81,11155761.78,-1283.63
D10,2019-02-06,7814657.65,11247631.67,12812.92
D20,2019-02-06,6810487.25,11156042.26,280.48
D10,2019-02-07,7815392.6,11200635.6,-46996.07
D20,2019-02-07,6811127.77,11094570.77,-61471.49
D10,2019-02-08,7816130.72,11225315.72,24680.12
D20,2019-02-08,6811771.04,11116794.04,22223.26
D10,2019-02-11,7816875.11,11220014.09,-5301.62
D20,2019-02-11,6812419.78,11102987.77,-13806.27
D10,2019-02-12,7817613.37,11245916.37,25902.28
D20,2019-02-12,6813063.17,11126018.17,23030.4
D10,2019-02-13,7818354.8,11240237.79,-5678.59
D20,2019-02-13,6813709.33,11126882.31,864.14
D10,2019-02-14,7819093.21,11242175.21,1937.42
D20,2019-02-14,6814352.85,11126362.86,-519.45
D10,2019-02-15,7819831.68,11287455.68,45280.47
D20,2019-02-15,6814996.43,11178465.43,52102.57
D10,2019-02-19,7820579.52,11313735.51,26279.83
D20,2019-02-19,6815648.18,11223181.17,44715.75
D10,2019-02-20,7821324.34,11319078.34,5342.84
D20,2019-02-20,6816297.29,11251046.28,27865.11
D10,2019-02-21,7822069.23,11325520.23,6441.89
D20,2019-02-21,6816946.46,11252808.45,1762.17
D10,2019-02-22,7822817.29,11370237.29,44717.06
D20,2019-02-22,6817598.4,11313944.39,61135.94
D10,2019-02-25,7823568.53,11381471.53,11234.24
D20,2019-02-25,6818253.1,11325082.1,11137.71
D10,2019-02-26,7824313.63,11367362.63,-14108.9
D20,2019-02-26,6818902.46,11294996.45,-30085.65
D10,2019-02-27,7825058.81,11335939.81,-31422.83
D20,2019-02-27,6819551.88,11267921.88,-27074.57
D10,2019-02-28,7825804.05,11333737.03,-2202.77
D20,2019-02-28,6820201.36,11259442.34,-8479.54
D10,2019-03-01,7826546.26,11351999.26,18262.23
D20,2019-03-01,6820848.2,11276095.2,16652.86
D10,2019-03-04,7827294.75,11341616.77,-10382.49
D20,2019-03-04,6821500.51,11269385.52,-6709.67
D10,2019-03-05,7828043.31,11343580.31,1963.54
